robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
0.22,0.113,0.7,0.3,0.0,73.78,917810000916,45.0,45.0,1,45,1.5,0,0,0.0,0,180.0,0.0262,4050,2.3219,6,0.5973,0.7,0.0092,0.0,0.54,0.72,4,0,1,0,0
0.22,0.113,0.72,0.24,0.03,47.76,711334483469,25.0,25.0,1,15,2.0,0,0,0.0,0,180.0,0.0108,1250,2.3219,2,0.5208,0.0,0.0,1.0,0.59,0.42,6,0,1,0,0
1.1,0.625,0.2,0.8,0.0,101.4,3539030003536,45.0,45.0,1,30,2.5,0,0,0.0,0,360.0,0.0309,4050,2.3219,2,0.483,1.0,0.0094,0.0,0.67,0.47,8,1,0,0,0
2.0,0.267,0.27,0.73,0.0,256.57,3858560003857,45.0,45.0,1,15,2.0,0,0,0.0,0,360.0,0.0207,4050,2.3219,1,0.6909,0.0,0.0,1.0,0.53,0.52,12,0,0,1,0
1.1,0.625,0.27,0.73,0.0,74.26,1601093334932,35.0,35.0,1,30,2.0,0,0,0.0,0,90.0,0.0199,2450,2.3219,4,0.5069,1.0,0.0052,0.0,0.62,0.78,6,1,0,0,0
2.0,0.267,0.52,0.48,0.0,47.49,535655172947,25.0,25.0,1,15,1.5,0,0,0.0,0,360.0,0.0089,1250,2.3219,1,0.626,0.0,0.0,1.0,0.65,0.64,6,0,1,0,0
0.22,0.113,0.87,0.13,0.0,121.14,1083866667749,35.0,35.0,1,45,1.5,0,0,0.0,0,144.0,0.0211,2450,2.3219,6,0.4882,0.7,0.0069,0.0,0.66,0.43,6,0,1,0,0
2.0,0.267,0.2,0.73,0.07,387.09,4356876671022,45.0,45.0,1,30,2.0,0,0,0.0,0,360.0,0.0285,4050,2.3219,2,0.5552,1.0,0.0042,0.0,0.49,0.54,12,0,0,1,0
2.0,0.267,0.27,0.33,0.4,240.3,4483420004481,35.0,35.0,1,70,1.5,0,0,0.0,0,288.0,0.0247,2450,2.3219,8,0.378,0.5,0.0186,0.0,0.58,0.51,3,0,0,1,0
1.1,0.625,0.97,0.03,0.0,59.92,1311546667977,35.0,35.0,1,70,2.5,0,0,0.0,0,180.0,0.0244,2450,2.3219,2,0.3137,1.0,0.0003,0.0,0.61,0.52,3,1,0,0,0
0.22,0.113,0.73,0.27,0.0,68.47,762443334093,25.0,25.0,1,30,1.5,0,0,0.0,0,90.0,0.0124,1250,2.3219,8,0.4368,0.2,0.0083,0.0,0.43,0.47,6,0,1,0,0
1.1,0.625,0.9,0.1,0.0,114.02,924733334255,25.0,25.0,1,70,2.5,0,0,0.0,0,360.0,0.0152,1250,2.3219,1,0.2508,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0
0.22,0.113,0.63,0.37,0.0,85.33,1528076668192,25.0,25.0,1,30,2.5,0,0,0.0,0,180.0,0.0145,1250,2.3219,2,0.3012,0.0,0.0,1.0,0.53,0.6,6,1,0,0,0
2.0,0.267,0.13,0.83,0.03,192.2,4429320004429,25.0,25.0,1,30,2.5,0,0,0.0,0,180.0,0.0134,1250,2.3219,2,0.364,0.0,0.0,1.0,0.59,0.67,6,0,0,1,0
0.22,0.113,0.27,0.73,0.0,459.46,3929066670593,45.0,45.0,1,70,2.0,0,0,0.0,0,205.7143,0.0359,4050,2.3219,5,0.3849,0.6,0.0087,0.0,0.54,0.55,4,0,0,1,0
1.1,0.625,0.47,0.53,0.0,72.66,1520533334852,35.0,35.0,1,45,2.5,0,0,0.0,0,360.0,0.0236,2450,2.3219,1,0.3637,0.0,0.0,1.0,0.61,0.44,6,1,0,0,0
1.1,0.625,0.53,0.43,0.03,59.4,1851270001850,35.0,35.0,1,15,2.5,0,0,0.0,0,90.0,0.0198,2450,2.3219,4,0.4837,1.0,0.0063,0.0,0.65,0.43,3,0,1,0,0
0.22,0.113,0.53,0.47,0.0,39.6,781746667446,35.0,35.0,1,30,1.5,0,0,0.0,0,180.0,0.0169,2450,2.3219,7,0.6031,0.4,0.0124,0.0,0.63,0.62,6,1,0,0,0
0.22,0.113,0.37,0.63,0.0,87.48,1267236667933,45.0,45.0,1,45,1.5,0,0,0.0,0,180.0,0.0279,4050,2.3219,2,0.5815,1.0,0.0045,0.0,0.58,0.51,12,1,0,0,0
