robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
1.1,0.625,0.2,0.8,0.0,101.4,3539030003536,45.0,45.0,1,30,2.5,0,0,0.0,0,360.0,0.0309,4050,2.3219,2,0.483,1.0,0.0094,0.0,0.67,0.47,8,1,0,0,0
1.1,0.625,0.27,0.73,0.0,74.26,1601093334932,35.0,35.0,1,30,2.0,0,0,0.0,0,90.0,0.0199,2450,2.3219,4,0.5069,1.0,0.0052,0.0,0.62,0.78,6,1,0,0,0
1.1,0.625,0.97,0.03,0.0,59.92,1311546667977,35.0,35.0,1,70,2.5,0,0,0.0,0,180.0,0.0244,2450,2.3219,2,0.3137,1.0,0.0003,0.0,0.61,0.52,3,1,0,0,0
0.22,0.113,0.63,0.37,0.0,85.33,1528076668192,25.0,25.0,1,30,2.5,0,0,0.0,0,180.0,0.0145,1250,2.3219,2,0.3012,0.0,0.0,1.0,0.53,0.6,6,1,0,0,0
1.1,0.625,0.47,0.53,0.0,72.66,1520533334852,35.0,35.0,1,45,2.5,0,0,0.0,0,360.0,0.0236,2450,2.3219,1,0.3637,0.0,0.0,1.0,0.61,0.44,6,1,0,0,0
0.22,0.113,0.53,0.47,0.0,39.6,781746667446,35.0,35.0,1,30,1.5,0,0,0.0,0,180.0,0.0169,2450,2.3219,7,0.6031,0.4,0.0124,0.0,0.63,0.62,6,1,0,0,0
0.22,0.113,0.37,0.63,0.0,87.48,1267236667933,45.0,45.0,1,45,1.5,0,0,0.0,0,180.0,0.0279,4050,2.3219,2,0.5815,1.0,0.0045,0.0,0.58,0.51,12,1,0,0,0
1.1,0.625,0.37,0.63,0.0,78.11,1839346668503,35.0,35.0,1,30,2.0,0,0,0.0,0,180.0,0.0182,2450,2.3219,4,0.5373,1.0,0.0069,0.0,0.63,0.6,9,1,0,0,0
2.0,0.267,0.73,0.27,0.0,144.14,2168850002167,45.0,45.0,1,45,2.5,0,0,0.0,0,310.3448,0.0321,4050,2.3219,8,0.4621,0.4,0.0125,0.0,0.77,0.59,4,1,0,0,0
0.22,0.113,0.53,0.43,0.03,178.71,3069116669733,45.0,45.0,1,70,1.5,0,0,0.0,0,180.0,0.0324,4050,2.3219,5,0.4901,0.6,0.0099,0.0,0.56,0.41,4,1,0,0,0
