number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity,occupancy_ratio,entropy
8,0.47,4050,0.67,0.483,0.0309
6,0.78,2450,0.62,0.5069,0.0199
3,0.52,2450,0.61,0.3137,0.0244
6,0.6,1250,0.53,0.3012,0.0145
6,0.44,2450,0.61,0.3637,0.0236
6,0.62,2450,0.63,0.6031,0.0169
12,0.51,4050,0.58,0.5815,0.0279
9,0.6,2450,0.63,0.5373,0.0182
4,0.59,4050,0.77,0.4621,0.0321
4,0.41,4050,0.56,0.4901,0.0324
4,0.78,1250,0.68,0.4624,0.0118
3,0.32,2450,0.4,0.3686,0.025
0,0.0,2450,0.0,0.4927,0.0208
9,0.65,2450,0.63,0.3365,0.0242
4,0.43,1250,0.61,0.3564,0.0133
6,0.52,1250,0.66,0.4392,0.0121
4,0.34,1250,0.6,0.502,0.0112
3,0.64,2450,0.52,0.2194,0.0282
4,0.58,1250,0.57,0.2248,0.0152
4,0.7,1250,0.69,0.6116,0.0095
8,0.51,4050,0.52,0.3809,0.037
8,0.66,4050,0.59,0.4567,0.0338
3,0.73,2450,0.65,0.4192,0.0221
6,0.63,1250,0.4,0.3612,0.0136
0,0.0,4050,0.0,0.4216,0.0342
0,0.0,2450,0.0,0.2773,0.0267
0,0.0,1250,0.0,0.3072,0.0143
4,0.26,4050,0.67,0.5938,0.0271
9,0.59,2450,0.47,0.5308,0.0192
12,0.67,4050,0.58,0.4309,0.0335
12,0.54,4050,0.59,0.4716,0.0335
4,0.53,4050,0.41,0.5664,0.0278
12,0.51,4050,0.6,0.2867,0.0393
4,0.51,4050,0.5,0.5554,0.0273
6,0.35,1250,0.56,0.2308,0.0158
4,0.62,1250,0.7,0.524,0.0115
4,0.45,4050,0.53,0.4951,0.0309
0,0.0,4050,0.0,0.4062,0.0348
3,0.71,2450,0.46,0.4402,0.0213
0,0.0,4050,0.0,0.5589,0.0285
0,0.0,1250,0.0,0.3236,0.0141
0,0.0,2450,0.0,0.4143,0.0223
12,0.5,4050,0.62,0.3058,0.0383
6,0.65,2450,0.69,0.3843,0.0223
2,0.62,1250,0.62,0.4264,0.013
12,0.53,4050,0.61,0.6272,0.0248
4,0.65,4050,0.85,0.4632,0.0321
0,0.0,2450,0.0,0.3706,0.0248
12,0.54,4050,0.66,0.4138,0.0339
8,0.68,4050,0.57,0.3474,0.037
4,0.41,1250,0.43,0.226,0.0152
4,0.85,4050,0.59,0.5273,0.0307
0,0.0,4050,0.0,0.3078,0.0404
12,0.46,4050,0.59,0.6502,0.023
2,0.4,1250,0.44,0.2172,0.0156
8,0.6,4050,0.55,0.3978,0.0361
6,0.72,1250,0.48,0.2752,0.0145
4,0.44,1250,0.66,0.3124,0.0149
6,0.46,1250,0.51,0.3304,0.0132
6,0.54,1250,0.66,0.4592,0.0123
3,0.57,2450,0.43,0.7114,0.013
12,0.59,4050,0.62,0.6042,0.0262
4,0.63,1250,0.37,0.324,0.0136
4,0.55,4050,0.58,0.577,0.0267
4,0.52,4050,0.39,0.5826,0.0273
4,0.35,4050,0.33,0.5442,0.0288
