number_dynamic_obstacles,map_size,corridor_width,num_static_obstacles,height,robot_radius,distance_variance,num_obs_cv2,iterations,max_entropy
8,4050,2.5,0,45.0,0.625,0.0,2,30,2.3219
6,2450,2.0,0,35.0,0.625,0.0,4,30,2.3219
3,2450,2.5,0,35.0,0.625,0.0,2,70,2.3219
6,1250,2.5,0,25.0,0.113,1.0,2,30,2.3219
6,2450,2.5,0,35.0,0.625,1.0,1,45,2.3219
6,2450,1.5,0,35.0,0.113,0.0,7,30,2.3219
12,4050,1.5,0,45.0,0.113,0.0,2,45,2.3219
9,2450,2.0,0,35.0,0.625,0.0,4,30,2.3219
4,4050,2.5,0,45.0,0.267,0.0,8,45,2.3219
4,4050,1.5,0,45.0,0.113,0.0,5,70,2.3219
4,1250,2.5,0,25.0,0.113,0.0,2,15,2.3219
3,2450,1.5,0,35.0,0.625,0.0,10,70,2.3219
0,2450,1.5,0,35.0,0.625,0.0,7,45,2.3219
9,2450,2.5,0,35.0,0.625,0.0,5,45,2.3219
4,1250,2.0,0,25.0,0.267,0.0,3,45,2.3219
6,1250,2.5,0,25.0,0.267,1.0,2,15,2.3219
4,1250,2.0,0,25.0,0.113,1.0,1,15,2.3219
3,2450,2.5,0,35.0,0.625,0.0,6,70,2.3219
4,1250,2.5,0,25.0,0.113,1.0,2,45,2.3219
4,1250,1.5,0,25.0,0.113,1.0,2,15,2.3219
8,4050,2.0,0,45.0,0.113,0.0,11,70,2.3219
8,4050,1.5,0,45.0,0.625,0.0,20,70,2.3219
3,2450,2.5,0,35.0,0.113,0.0,4,30,2.3219
6,1250,1.5,0,25.0,0.113,0.0,3,45,2.3219
0,4050,2.0,0,45.0,0.113,0.0,10,70,2.3219
0,2450,2.0,0,35.0,0.113,0.0,5,70,2.3219
0,1250,2.0,0,25.0,0.113,0.0,3,30,2.3219
4,4050,1.5,0,45.0,0.113,1.0,2,30,2.3219
9,2450,1.5,0,35.0,0.113,0.0,2,30,2.3219
12,4050,2.5,0,45.0,0.113,0.0,6,45,2.3219
12,4050,1.5,0,45.0,0.113,0.0,11,70,2.3219
4,4050,2.0,0,45.0,0.113,1.0,1,30,2.3219
12,4050,2.5,0,45.0,0.113,0.0,9,70,2.3219
4,4050,2.5,0,45.0,0.113,1.0,1,15,2.3219
6,1250,2.5,0,25.0,0.113,1.0,2,45,2.3219
4,1250,2.0,0,25.0,0.113,0.0,3,15,2.3219
4,4050,2.0,0,45.0,0.113,0.0,4,30,2.3219
0,4050,2.5,0,45.0,0.113,0.0,10,45,2.3219
3,2450,2.0,0,35.0,0.113,0.0,5,30,2.3219
0,4050,1.5,0,45.0,0.113,0.0,3,45,2.3219
0,1250,1.5,0,25.0,0.113,0.0,3,70,2.3219
0,2450,2.5,0,35.0,0.113,0.0,2,30,2.3219
12,4050,2.5,0,45.0,0.113,0.0,9,70,2.3219
6,2450,2.5,0,35.0,0.113,0.0,4,30,2.3219
2,1250,1.5,0,25.0,0.113,0.0,3,30,2.3219
12,4050,1.5,0,45.0,0.113,1.0,1,30,2.3219
4,4050,2.0,0,45.0,0.113,0.0,5,70,2.3219
0,2450,1.5,0,35.0,0.113,0.0,15,70,2.3219
12,4050,2.5,0,45.0,0.113,0.0,3,45,2.3219
8,4050,2.0,0,45.0,0.113,0.0,12,70,2.3219
4,1250,2.5,0,25.0,0.113,1.0,2,70,2.3219
4,4050,1.5,0,45.0,0.113,0.0,4,45,2.3219
0,4050,2.0,0,45.0,0.113,0.0,10,70,2.3219
12,4050,2.0,0,45.0,0.113,1.0,1,15,2.3219
2,1250,2.5,0,25.0,0.113,1.0,2,70,2.3219
8,4050,2.0,0,45.0,0.113,0.0,11,45,2.3219
6,1250,2.5,0,25.0,0.113,0.0,4,30,2.3219
4,1250,1.5,0,25.0,0.113,0.0,6,45,2.3219
6,1250,2.5,0,25.0,0.113,1.0,1,45,2.3219
6,1250,1.5,0,25.0,0.113,0.0,4,45,2.3219
3,2450,1.5,0,35.0,0.113,1.0,1,15,2.3219
12,4050,1.5,0,45.0,0.113,0.0,4,45,2.3219
4,1250,2.5,0,25.0,0.113,1.0,2,45,2.3219
4,4050,2.0,0,45.0,0.113,0.0,4,30,2.3219
4,4050,1.5,0,45.0,0.113,0.0,2,30,2.3219
4,4050,1.5,0,45.0,0.113,0.0,3,45,2.3219
9,2450,2.0,0,35.0,0.113,0.0,8,30,2.3219
4,4050,2.0,0,45.0,0.113,0.0,4,45,2.3219
4,1250,1.5,0,25.0,0.113,0.0,4,30,2.3219
0,4050,2.0,0,45.0,0.113,0.0,17,70,2.3219
3,2450,1.5,0,35.0,0.113,0.0,3,30,2.3219
0,2450,2.5,0,35.0,0.113,0.0,2,70,2.3219
4,1250,2.0,0,25.0,0.113,1.0,1,45,2.3219
3,2450,1.5,0,35.0,0.113,0.0,4,15,2.3219
3,2450,2.5,0,35.0,0.113,0.0,3,30,2.3219
0,4050,2.0,0,45.0,0.113,0.0,10,70,2.3219
6,2450,2.5,0,35.0,0.113,0.0,4,45,2.3219
12,4050,2.0,0,45.0,0.113,0.0,11,70,2.3219
3,2450,2.0,0,35.0,0.113,0.0,5,70,2.3219
3,2450,2.5,0,35.0,0.113,0.0,4,15,2.3219
2,1250,2.0,0,25.0,0.113,0.0,4,15,2.3219
6,1250,2.5,0,25.0,0.113,1.0,2,30,2.3219
3,2450,2.0,0,35.0,0.113,1.0,2,15,2.3219
