robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
0.22,0.113,0.7,0.3,0.0,73.78,917810000916,45.0,45.0,1,45,1.5,0,0,0.0,0,180.0,0.0262,4050,2.3219,6,0.5973,0.7,0.0092,0.0,0.54,0.72,4,0,1,0,0
0.22,0.113,0.72,0.24,0.03,47.76,711334483469,25.0,25.0,1,15,2.0,0,0,0.0,0,180.0,0.0108,1250,2.3219,2,0.5208,0.0,0.0,1.0,0.59,0.42,6,0,1,0,0
2.0,0.267,0.52,0.48,0.0,47.49,535655172947,25.0,25.0,1,15,1.5,0,0,0.0,0,360.0,0.0089,1250,2.3219,1,0.626,0.0,0.0,1.0,0.65,0.64,6,0,1,0,0
0.22,0.113,0.87,0.13,0.0,121.14,1083866667749,35.0,35.0,1,45,1.5,0,0,0.0,0,144.0,0.0211,2450,2.3219,6,0.4882,0.7,0.0069,0.0,0.66,0.43,6,0,1,0,0
0.22,0.113,0.73,0.27,0.0,68.47,762443334093,25.0,25.0,1,30,1.5,0,0,0.0,0,90.0,0.0124,1250,2.3219,8,0.4368,0.2,0.0083,0.0,0.43,0.47,6,0,1,0,0
1.1,0.625,0.9,0.1,0.0,114.02,924733334255,25.0,25.0,1,70,2.5,0,0,0.0,0,360.0,0.0152,1250,2.3219,1,0.2508,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0
1.1,0.625,0.53,0.43,0.03,59.4,1851270001850,35.0,35.0,1,15,2.5,0,0,0.0,0,90.0,0.0198,2450,2.3219,4,0.4837,1.0,0.0063,0.0,0.65,0.43,3,0,1,0,0
0.22,0.113,1.0,0.0,0.0,30.52,589100000581,35.0,35.0,1,70,2.0,0,0,0.0,0,144.0,0.0246,2450,2.3219,6,0.3457,0.7,0.0106,0.0,0.0,0.0,0,0,1,0,0
1.1,0.625,1.0,0.0,0.0,10.54,129500000125,35.0,35.0,1,30,2.0,0,0,0.0,0,205.7143,0.0218,2450,2.3219,6,0.4612,0.7,0.0068,0.0,0.0,0.0,0,0,1,0,0
1.1,0.625,0.1,0.9,0.0,63.03,2074560002073,45.0,45.0,1,45,1.5,0,0,0.0,0,240.0,0.0294,4050,2.3219,6,0.5483,0.3,0.0067,0.0,0.54,0.52,12,0,1,0,0
2.0,0.267,0.0,1.0,0.0,78.07,5980000005980,25.0,25.0,1,70,1.5,0,0,0.0,0,180.0,0.0152,1250,2.3219,5,0.27,0.6,0.0088,0.0,0.0,0.0,0,0,1,0,0
2.0,0.267,0.93,0.07,0.0,89.68,584776667249,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.0155,1250,2.3219,2,0.2164,0.0,0.0,1.0,0.21,0.54,2,0,1,0,0
0.22,0.113,1.0,0.0,0.0,54.57,824306897374,35.0,35.0,1,45,2.5,0,0,0.0,0,308.5714,0.0253,2450,2.3219,4,0.2873,0.2,0.014,0.0,0.0,0.0,0,0,1,0,0
0.22,0.113,0.67,0.33,0.0,87.45,1405813334737,35.0,35.0,1,45,2.0,0,0,0.0,0,120.0,0.0234,2450,2.3219,5,0.3673,0.6,0.0063,0.0,0.64,0.56,6,0,1,0,0
0.22,0.113,0.57,0.43,0.0,89.42,1712920001712,45.0,45.0,1,45,2.5,0,0,0.0,0,120.0,0.035,4050,2.3219,3,0.3809,0.7,0.0062,0.0,0.6,0.68,12,0,1,0,0
0.22,0.113,0.71,0.29,0.0,55.21,599042857739,25.0,25.0,1,45,1.5,0,0,0.0,0,360.0,0.0127,1250,2.3219,2,0.416,1.0,0.0055,0.0,0.38,0.43,6,0,1,0,0
0.22,0.113,0.77,0.23,0.0,108.71,1263626667929,35.0,35.0,1,15,2.0,0,0,0.0,0,360.0,0.0135,2450,2.3219,2,0.69,1.0,0.0013,0.0,0.58,0.42,9,0,1,0,0
2.0,0.267,0.93,0.03,0.03,100.85,832703334163,25.0,25.0,1,30,2.0,0,0,0.0,0,180.0,0.0126,1250,2.3219,3,0.4124,1.0,0.0113,0.0,0.0,0.0,0,0,1,0,0
2.0,0.267,0.47,0.53,0.0,157.06,1091200001090,35.0,35.0,1,70,2.0,0,0,0.0,0,180.0,0.0248,2450,2.3219,8,0.3376,0.4,0.0091,0.0,0.67,0.44,9,0,1,0,0
2.0,0.267,0.48,0.52,0.0,40.11,338941379649,25.0,25.0,1,15,1.5,0,0,0.0,0,180.0,0.0104,1250,2.3219,2,0.5784,1.0,0.0002,0.0,0.22,0.61,4,0,1,0,0
