average_linear_velocity,average_obstalce_size,number_dynamic_obstacles
0.54,0.72,4
0.59,0.42,6
0.65,0.64,6
0.66,0.43,6
0.43,0.47,6
0.0,0.0,0
0.65,0.43,3
0.0,0.0,0
0.0,0.0,0
0.54,0.52,12
0.0,0.0,0
0.21,0.54,2
0.0,0.0,0
0.64,0.56,6
0.6,0.68,12
0.38,0.43,6
0.58,0.42,9
0.0,0.0,0
0.67,0.44,9
0.22,0.61,4
0.56,0.59,4
0.0,0.0,0
0.35,0.53,8
0.0,0.0,0
0.0,0.0,0
0.49,0.54,12
0.64,0.49,8
0.31,0.64,4
0.48,0.62,6
0.0,0.0,0
0.22,0.83,2
0.6,0.47,4
0.52,0.53,12
0.79,0.46,3
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.44,0.5,4
0.58,0.37,6
0.0,0.0,0
0.59,0.45,3
0.54,0.71,4
0.46,0.56,9
0.68,0.31,3
0.31,0.32,2
0.76,0.58,6
0.66,0.46,3
0.53,0.52,4
0.53,0.55,6
0.65,0.44,6
0.0,0.0,0
0.66,0.57,6
0.58,0.68,6
0.66,0.72,6
0.0,0.0,0
0.47,0.65,3
0.53,0.52,12
0.55,0.31,4
0.38,0.58,6
0.54,0.5,12
0.63,0.32,2
0.49,0.54,6
0.45,0.62,4
0.59,0.39,9
0.65,0.57,4
0.76,0.62,4
0.46,0.56,12
0.44,0.54,4
0.61,0.3,9
0.75,0.59,8
0.45,0.43,9
0.0,0.0,0
0.64,0.61,8
0.6,0.47,12
0.82,0.52,2
0.66,0.58,8
0.55,0.57,8
0.0,0.0,0
0.49,0.47,9
0.47,0.5,9
0.58,0.52,3
0.52,0.5,12
0.78,0.43,2
0.0,0.0,0
0.54,0.57,9
0.8,0.37,4
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.63,0.62,6
0.59,0.48,9
0.0,0.0,0
0.0,0.0,0
0.31,0.63,9
0.0,0.0,0
0.63,0.56,12
0.0,0.0,0
0.44,0.47,2
0.0,0.0,0
0.67,0.42,6
0.62,0.41,2
0.0,0.0,0
0.34,0.57,3
0.49,0.47,6
0.64,0.42,6
0.53,0.57,9
0.36,0.5,9
0.49,0.49,4
0.73,0.92,2
0.0,0.0,0
0.66,0.63,6
0.55,0.39,3
0.0,0.0,0
0.58,0.63,12
0.0,0.0,0
0.43,0.34,4
0.61,0.5,9
0.49,0.77,3
0.64,0.42,3
0.55,0.61,6
0.6,0.58,6
0.0,0.0,0
0.47,0.63,6
0.5,0.59,4
0.6,0.34,4
0.74,0.69,4
0.48,0.7,12
0.58,0.44,4
0.71,0.35,4
0.0,0.0,0
0.7,0.44,4
0.0,0.0,0
0.67,0.41,12
0.78,0.61,4
0.34,0.57,6
0.64,0.65,6
0.0,0.0,0
0.47,0.61,4
0.0,0.0,0
0.0,0.0,0
0.61,0.83,4
0.67,0.6,6
0.67,0.76,2
0.0,0.0,0
0.52,0.55,9
0.63,0.5,12
0.0,0.0,0
0.0,0.0,0
0.56,0.63,12
