average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,occupancy_ratio,indoor_map_type
0.54,0.72,4,0.5973,1
0.59,0.42,6,0.5208,1
0.65,0.64,6,0.626,1
0.66,0.43,6,0.4882,1
0.43,0.47,6,0.4368,1
0.0,0.0,0,0.2508,1
0.65,0.43,3,0.4837,1
0.0,0.0,0,0.3457,1
0.0,0.0,0,0.4612,1
0.54,0.52,12,0.5483,1
0.0,0.0,0,0.27,1
0.21,0.54,2,0.2164,1
0.0,0.0,0,0.2873,1
0.64,0.56,6,0.3673,1
0.6,0.68,12,0.3809,1
0.38,0.43,6,0.416,1
0.58,0.42,9,0.69,1
0.0,0.0,0,0.4124,1
0.67,0.44,9,0.3376,1
0.22,0.61,4,0.5784,1
0.56,0.59,4,0.2552,1
0.0,0.0,0,0.4598,1
0.35,0.53,8,0.5733,1
0.0,0.0,0,0.5554,1
0.0,0.0,0,0.2824,1
0.49,0.54,12,0.6428,1
0.64,0.49,8,0.6565,1
0.31,0.64,4,0.5524,1
0.48,0.62,6,0.2906,1
0.0,0.0,0,0.2584,1
0.22,0.83,2,0.1968,1
0.6,0.47,4,0.5728,1
0.52,0.53,12,0.5004,1
0.79,0.46,3,0.539,1
0.0,0.0,0,0.2922,1
0.0,0.0,0,0.3869,1
0.0,0.0,0,0.6347,1
0.44,0.5,4,0.2048,1
0.58,0.37,6,0.2008,1
0.0,0.0,0,0.7371,1
0.59,0.45,3,0.2439,1
0.54,0.71,4,0.4678,1
0.46,0.56,9,0.388,1
0.68,0.31,3,0.5037,1
0.31,0.32,2,0.3748,1
0.76,0.58,6,0.3516,1
0.66,0.46,3,0.6927,1
0.53,0.52,4,0.5804,1
0.53,0.55,6,0.4272,1
0.65,0.44,6,0.5894,1
0.0,0.0,0,0.2008,1
0.66,0.57,6,0.2756,1
0.58,0.68,6,0.4682,1
0.66,0.72,6,0.3752,1
0.0,0.0,0,0.1996,1
0.47,0.65,3,0.4733,1
0.53,0.52,12,0.5236,1
0.55,0.31,4,0.5158,1
0.38,0.58,6,0.5032,1
0.54,0.5,12,0.3377,1
0.63,0.32,2,0.3164,1
0.49,0.54,6,0.6124,1
0.45,0.62,4,0.3332,1
0.59,0.39,9,0.4749,1
0.65,0.57,4,0.5052,1
0.76,0.62,4,0.3028,1
0.46,0.56,12,0.4772,1
0.44,0.54,4,0.5498,1
0.61,0.3,9,0.4241,1
0.75,0.59,8,0.592,1
0.45,0.43,9,0.4414,1
0.0,0.0,0,0.4668,1
0.64,0.61,8,0.5967,1
0.6,0.47,12,0.7281,1
0.82,0.52,2,0.3532,1
0.66,0.58,8,0.3009,1
0.55,0.57,8,0.4623,1
0.0,0.0,0,0.5512,1
0.49,0.47,9,0.592,1
