number_dynamic_obstacles,robot_radius,average_linear_velocity,average_obstalce_size,num_static_obstacles,corridor_width,distance_avg,distance_variance,robot_max_speed
4,0.113,0.54,0.72,0,1.5,0.0092,0.0,0.22
6,0.113,0.59,0.42,0,2.0,0.0,1.0,0.22
6,0.267,0.65,0.64,0,1.5,0.0,1.0,2.0
6,0.113,0.66,0.43,0,1.5,0.0069,0.0,0.22
6,0.113,0.43,0.47,0,1.5,0.0083,0.0,0.22
0,0.625,0.0,0.0,0,2.5,0.0,1.0,1.1
3,0.625,0.65,0.43,0,2.5,0.0063,0.0,1.1
0,0.113,0.0,0.0,0,2.0,0.0106,0.0,0.22
0,0.625,0.0,0.0,0,2.0,0.0068,0.0,1.1
12,0.625,0.54,0.52,0,1.5,0.0067,0.0,1.1
0,0.267,0.0,0.0,0,1.5,0.0088,0.0,2.0
2,0.267,0.21,0.54,0,2.5,0.0,1.0,2.0
0,0.113,0.0,0.0,0,2.5,0.014,0.0,0.22
6,0.113,0.64,0.56,0,2.0,0.0063,0.0,0.22
12,0.113,0.6,0.68,0,2.5,0.0062,0.0,0.22
6,0.113,0.38,0.43,0,1.5,0.0055,0.0,0.22
9,0.113,0.58,0.42,0,2.0,0.0013,0.0,0.22
0,0.267,0.0,0.0,0,2.0,0.0113,0.0,2.0
9,0.267,0.67,0.44,0,2.0,0.0091,0.0,2.0
4,0.267,0.22,0.61,0,1.5,0.0002,0.0,2.0
4,0.625,0.56,0.59,0,1.5,0.0102,0.0,1.1
0,0.113,0.0,0.0,0,2.0,0.0079,0.0,0.22
8,0.113,0.35,0.53,0,1.5,0.0055,0.0,0.22
0,0.113,0.0,0.0,0,2.5,0.0,1.0,0.22
0,0.267,0.0,0.0,0,2.5,0.0005,0.0,2.0
12,0.625,0.49,0.54,0,2.0,0.0,1.0,1.1
8,0.625,0.64,0.49,0,1.5,0.0061,0.0,1.1
4,0.267,0.31,0.64,0,2.5,0.0,1.0,2.0
6,0.625,0.48,0.62,0,2.5,0.0105,0.0,1.1
0,0.267,0.0,0.0,0,2.5,0.0065,0.0,2.0
2,0.267,0.22,0.83,0,2.5,0.0,1.0,2.0
4,0.625,0.6,0.47,0,2.5,0.0,1.0,1.1
12,0.625,0.52,0.53,0,2.5,0.0,1.0,1.1
3,0.625,0.79,0.46,0,1.5,0.0082,0.0,1.1
0,0.267,0.0,0.0,0,2.5,0.0099,0.0,2.0
0,0.625,0.0,0.0,0,2.0,0.007,0.0,1.1
0,0.267,0.0,0.0,0,2.5,0.0,1.0,2.0
4,0.625,0.44,0.5,0,2.0,0.0059,0.0,1.1
6,0.267,0.58,0.37,0,2.0,0.0,1.0,2.0
0,0.113,0.0,0.0,0,1.5,0.0,1.0,0.22
3,0.625,0.59,0.45,0,2.5,0.0077,0.0,1.1
4,0.625,0.54,0.71,0,1.5,0.0097,0.0,1.1
9,0.625,0.46,0.56,0,1.5,0.0096,0.0,1.1
3,0.625,0.68,0.31,0,2.5,0.0,1.0,1.1
2,0.625,0.31,0.32,0,2.0,0.0,1.0,1.1
6,0.267,0.76,0.58,0,2.0,0.0109,0.0,2.0
3,0.113,0.66,0.46,0,1.5,0.0,1.0,0.22
4,0.113,0.53,0.52,0,2.0,0.005,0.0,0.22
