robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
2.0,0.267,0.27,0.73,0.0,256.57,3858560003857,45.0,45.0,1,15,2.0,0,0,0.0,0,360.0,0.0207,4050,2.3219,1,0.6909,0.0,0.0,1.0,0.53,0.52,12,0,0,1,0
2.0,0.267,0.2,0.73,0.07,387.09,4356876671022,45.0,45.0,1,30,2.0,0,0,0.0,0,360.0,0.0285,4050,2.3219,2,0.5552,1.0,0.0042,0.0,0.49,0.54,12,0,0,1,0
2.0,0.267,0.27,0.33,0.4,240.3,4483420004481,35.0,35.0,1,70,1.5,0,0,0.0,0,288.0,0.0247,2450,2.3219,8,0.378,0.5,0.0186,0.0,0.58,0.51,3,0,0,1,0
2.0,0.267,0.13,0.83,0.03,192.2,4429320004429,25.0,25.0,1,30,2.5,0,0,0.0,0,180.0,0.0134,1250,2.3219,2,0.364,0.0,0.0,1.0,0.59,0.67,6,0,0,1,0
0.22,0.113,0.27,0.73,0.0,459.46,3929066670593,45.0,45.0,1,70,2.0,0,0,0.0,0,205.7143,0.0359,4050,2.3219,5,0.3849,0.6,0.0087,0.0,0.54,0.55,4,0,0,1,0
2.0,0.267,0.03,0.63,0.33,346.25,5899426672563,35.0,35.0,1,45,2.5,0,0,0.0,0,270.0,0.0238,2450,2.3219,5,0.3553,0.2,0.0122,0.0,0.63,0.89,3,0,0,1,0
2.0,0.267,0.07,0.72,0.21,377.74,5115103453390,45.0,45.0,1,45,2.5,0,0,0.0,0,180.0,0.0316,4050,2.3219,7,0.4791,0.6,0.0073,0.0,0.63,0.43,12,0,0,1,0
1.1,0.625,0.3,0.7,0.0,131.4,2643160002641,25.0,25.0,1,70,1.5,0,0,0.0,0,120.0,0.0136,1250,2.3219,6,0.3676,0.3,0.0069,0.0,0.64,0.42,4,0,0,1,0
2.0,0.267,0.67,0.0,0.33,83.98,3041920003041,25.0,25.0,1,15,2.0,0,0,0.0,0,180.0,0.0091,1250,2.3219,2,0.6036,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0
0.22,0.113,0.0,1.0,0.0,611.28,5789100005781,35.0,35.0,1,45,1.5,0,0,0.0,0,360.0,0.0213,2450,2.3219,3,0.4733,0.7,0.008,0.0,0.59,0.53,9,0,0,1,0
0.22,0.113,0.0,1.0,0.0,572.97,5680400005684,25.0,25.0,1,15,1.5,0,0,0.0,0,360.0,0.0103,1250,2.3219,1,0.572,0.0,0.0,1.0,0.34,0.35,2,0,0,1,0
2.0,0.267,0.27,0.0,0.73,239.03,5328840005327,35.0,35.0,1,70,1.5,0,0,0.0,0,166.1538,0.0228,2450,2.3219,11,0.4198,0.5,0.0084,0.0,0.0,0.0,0,0,0,1,0
1.1,0.625,0.43,0.57,0.0,158.57,2071440002069,45.0,45.0,1,30,1.5,0,0,0.0,0,333.3333,0.0252,4050,2.3219,5,0.616,0.6,0.0132,0.0,0.7,0.64,4,0,0,1,0
1.1,0.625,1.0,0.0,0.0,4.44,10400000014,25.0,25.0,1,15,1.5,0,0,0.0,0,360.0,0.0087,1250,2.3219,1,0.6452,0.0,0.0,1.0,0.58,0.53,6,0,0,1,0
1.1,0.625,0.37,0.63,0.0,129.91,2106880002105,45.0,45.0,1,45,2.0,0,0,0.0,0,193.8462,0.0346,4050,2.3219,11,0.4256,0.5,0.0116,0.0,0.6,0.7,8,0,0,1,0
1.1,0.625,0.66,0.34,0.0,36.68,683420690338,25.0,25.0,1,45,2.0,0,0,0.0,0,120.0,0.0145,1250,2.3219,5,0.2576,0.4,0.0087,0.0,0.64,0.54,4,0,0,1,0
2.0,0.267,0.17,0.73,0.1,356.39,4587200004586,35.0,35.0,1,45,2.0,0,0,0.0,0,180.0,0.0244,2450,2.3219,5,0.3724,0.4,0.0094,0.0,0.51,0.55,6,0,0,1,0
2.0,0.267,0.57,0.4,0.03,110.73,2593310002593,35.0,35.0,1,15,2.0,0,0,0.0,0,120.0,0.0148,2450,2.3219,3,0.6367,0.7,0.0052,0.0,0.52,0.59,6,0,0,1,0
2.0,0.267,1.0,0.0,0.0,13.73,269500000265,35.0,35.0,1,15,1.5,0,0,0.0,0,240.0,0.0136,2450,2.3219,3,0.6865,1.0,0.0077,0.0,0.65,0.55,3,0,0,1,0
0.22,0.113,0.41,0.59,0.0,298.23,3659434486416,35.0,35.0,1,70,1.5,0,0,0.0,0,216.0,0.026,2450,2.3219,9,0.318,0.6,0.0093,0.0,0.3,0.75,3,0,0,1,0
0.22,0.113,0.38,0.59,0.03,272.78,1884244829468,35.0,35.0,1,45,2.0,0,0,0.0,0,261.8182,0.0221,2450,2.3219,6,0.4024,0.3,0.0101,0.0,0.0,0.0,0,0,0,1,0
0.22,0.113,0.34,0.66,0.0,296.04,2099572415891,45.0,45.0,1,30,2.5,0,0,0.0,0,180.0,0.0338,4050,2.3219,6,0.43,0.3,0.0077,0.0,0.65,0.68,8,0,0,1,0
0.22,0.113,0.3,0.7,0.0,228.67,2136440002134,35.0,35.0,1,45,1.5,0,0,0.0,0,120.0,0.0228,2450,2.3219,7,0.4349,0.6,0.0066,0.0,0.55,0.42,6,0,0,1,0
0.22,0.113,0.27,0.73,0.0,254.97,2212533335544,45.0,45.0,1,70,2.0,0,0,0.0,0,180.0,0.0378,4050,2.3219,9,0.353,0.6,0.0112,0.0,0.52,0.54,12,0,0,1,0
0.22,0.113,0.33,0.67,0.0,255.15,2192073335526,35.0,35.0,1,30,2.0,0,0,0.0,0,180.0,0.0226,2450,2.3219,5,0.4292,0.4,0.0073,0.0,0.59,0.6,6,0,0,1,0
0.22,0.113,0.59,0.41,0.0,92.94,855003449129,25.0,25.0,1,30,1.5,0,0,0.0,0,360.0,0.0126,1250,2.3219,2,0.4388,1.0,0.0065,0.0,0.43,0.48,4,0,0,1,0
0.22,0.113,0.23,0.77,0.0,181.44,1704743335035,45.0,45.0,1,45,1.5,0,0,0.0,0,227.3684,0.0287,4050,2.3219,11,0.5577,0.5,0.0105,0.0,0.41,0.52,4,0,0,1,0
0.22,0.113,0.67,0.33,0.0,137.45,1579440001577,45.0,45.0,1,70,2.5,0,0,0.0,0,180.0,0.0379,4050,2.3219,3,0.3074,1.0,0.0074,0.0,0.46,0.59,4,0,0,1,0
