width,height,number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity,occupancy_ratio,entropy
45.0,45.0,12,0.52,4050,0.53,0.6909,0.0207
45.0,45.0,12,0.54,4050,0.49,0.5552,0.0285
35.0,35.0,3,0.51,2450,0.58,0.378,0.0247
25.0,25.0,6,0.67,1250,0.59,0.364,0.0134
45.0,45.0,4,0.55,4050,0.54,0.3849,0.0359
35.0,35.0,3,0.89,2450,0.63,0.3553,0.0238
45.0,45.0,12,0.43,4050,0.63,0.4791,0.0316
25.0,25.0,4,0.42,1250,0.64,0.3676,0.0136
25.0,25.0,0,0.0,1250,0.0,0.6036,0.0091
35.0,35.0,9,0.53,2450,0.59,0.4733,0.0213
25.0,25.0,2,0.35,1250,0.34,0.572,0.0103
35.0,35.0,0,0.0,2450,0.0,0.4198,0.0228
45.0,45.0,4,0.64,4050,0.7,0.616,0.0252
25.0,25.0,6,0.53,1250,0.58,0.6452,0.0087
45.0,45.0,8,0.7,4050,0.6,0.4256,0.0346
25.0,25.0,4,0.54,1250,0.64,0.2576,0.0145
35.0,35.0,6,0.55,2450,0.51,0.3724,0.0244
35.0,35.0,6,0.59,2450,0.52,0.6367,0.0148
35.0,35.0,3,0.55,2450,0.65,0.6865,0.0136
35.0,35.0,3,0.75,2450,0.3,0.318,0.026
35.0,35.0,0,0.0,2450,0.0,0.4024,0.0221
45.0,45.0,8,0.68,4050,0.65,0.43,0.0338
35.0,35.0,6,0.42,2450,0.55,0.4349,0.0228
45.0,45.0,12,0.54,4050,0.52,0.353,0.0378
35.0,35.0,6,0.6,2450,0.59,0.4292,0.0226
25.0,25.0,4,0.48,1250,0.43,0.4388,0.0126
45.0,45.0,4,0.52,4050,0.41,0.5577,0.0287
45.0,45.0,4,0.59,4050,0.46,0.3074,0.0379
35.0,35.0,6,0.58,2450,0.48,0.6982,0.0133
35.0,35.0,6,0.61,2450,0.51,0.6257,0.0154
35.0,35.0,0,0.0,2450,0.0,0.5318,0.0187
45.0,45.0,0,0.0,4050,0.0,0.3175,0.0374
45.0,45.0,8,0.81,4050,0.62,0.2737,0.0403
25.0,25.0,6,0.48,1250,0.64,0.314,0.0137
25.0,25.0,6,0.56,1250,0.5,0.2864,0.0151
45.0,45.0,12,0.57,4050,0.49,0.5273,0.0303
35.0,35.0,0,0.0,2450,0.0,0.6684,0.0141
35.0,35.0,6,0.67,2450,0.52,0.3929,0.0233
25.0,25.0,6,0.6,1250,0.6,0.2304,0.0154
35.0,35.0,0,0.0,2450,0.0,0.6251,0.0155
45.0,45.0,12,0.59,4050,0.58,0.6543,0.0237
35.0,35.0,9,0.58,2450,0.54,0.49,0.0199
25.0,25.0,2,0.38,1250,0.39,0.2944,0.0151
45.0,45.0,8,0.42,4050,0.59,0.6383,0.023
25.0,25.0,0,0.0,1250,0.0,0.4868,0.0119
35.0,35.0,6,0.52,2450,0.61,0.3637,0.0257
25.0,25.0,6,0.52,1250,0.59,0.3532,0.0139
45.0,45.0,12,0.62,4050,0.56,0.7065,0.0196
