width,average_obstalce_size,robot_max_speed,occupancy_ratio,height,iterations,number_dynamic_obstacles,distance_variance,num_obs_cv2,corridor_width,num_static_obstacles,distance_normalized,distance_avg,average_linear_velocity,robot_radius
45.0,0.52,2.0,0.6909,45.0,15,12,1.0,1,2.0,0,0.0,0.0,0.53,0.267
45.0,0.54,2.0,0.5552,45.0,30,12,0.0,2,2.0,0,1.0,0.0042,0.49,0.267
35.0,0.51,2.0,0.378,35.0,70,3,0.0,8,1.5,0,0.5,0.0186,0.58,0.267
25.0,0.67,2.0,0.364,25.0,30,6,1.0,2,2.5,0,0.0,0.0,0.59,0.267
45.0,0.55,0.22,0.3849,45.0,70,4,0.0,5,2.0,0,0.6,0.0087,0.54,0.113
35.0,0.89,2.0,0.3553,35.0,45,3,0.0,5,2.5,0,0.2,0.0122,0.63,0.267
45.0,0.43,2.0,0.4791,45.0,45,12,0.0,7,2.5,0,0.6,0.0073,0.63,0.267
25.0,0.42,1.1,0.3676,25.0,70,4,0.0,6,1.5,0,0.3,0.0069,0.64,0.625
25.0,0.0,2.0,0.6036,25.0,15,0,1.0,2,2.0,0,0.0,0.0,0.0,0.267
35.0,0.53,0.22,0.4733,35.0,45,9,0.0,3,1.5,0,0.7,0.008,0.59,0.113
25.0,0.35,0.22,0.572,25.0,15,2,1.0,1,1.5,0,0.0,0.0,0.34,0.113
35.0,0.0,2.0,0.4198,35.0,70,0,0.0,11,1.5,0,0.5,0.0084,0.0,0.267
45.0,0.64,1.1,0.616,45.0,30,4,0.0,5,1.5,0,0.6,0.0132,0.7,0.625
25.0,0.53,1.1,0.6452,25.0,15,6,1.0,1,1.5,0,0.0,0.0,0.58,0.625
45.0,0.7,1.1,0.4256,45.0,45,8,0.0,11,2.0,0,0.5,0.0116,0.6,0.625
25.0,0.54,1.1,0.2576,25.0,45,4,0.0,5,2.0,0,0.4,0.0087,0.64,0.625
35.0,0.55,2.0,0.3724,35.0,45,6,0.0,5,2.0,0,0.4,0.0094,0.51,0.267
35.0,0.59,2.0,0.6367,35.0,15,6,0.0,3,2.0,0,0.7,0.0052,0.52,0.267
35.0,0.55,2.0,0.6865,35.0,15,3,0.0,3,1.5,0,1.0,0.0077,0.65,0.267
35.0,0.75,0.22,0.318,35.0,70,3,0.0,9,1.5,0,0.6,0.0093,0.3,0.113
35.0,0.0,0.22,0.4024,35.0,45,0,0.0,6,2.0,0,0.3,0.0101,0.0,0.113
45.0,0.68,0.22,0.43,45.0,30,8,0.0,6,2.5,0,0.3,0.0077,0.65,0.113
35.0,0.42,0.22,0.4349,35.0,45,6,0.0,7,1.5,0,0.6,0.0066,0.55,0.113
45.0,0.54,0.22,0.353,45.0,70,12,0.0,9,2.0,0,0.6,0.0112,0.52,0.113
35.0,0.6,0.22,0.4292,35.0,30,6,0.0,5,2.0,0,0.4,0.0073,0.59,0.113
25.0,0.48,0.22,0.4388,25.0,30,4,0.0,2,1.5,0,1.0,0.0065,0.43,0.113
45.0,0.52,0.22,0.5577,45.0,45,4,0.0,11,1.5,0,0.5,0.0105,0.41,0.113
45.0,0.59,0.22,0.3074,45.0,70,4,0.0,3,2.5,0,1.0,0.0074,0.46,0.113
35.0,0.58,0.22,0.6982,35.0,15,6,0.0,4,1.5,0,1.0,0.0098,0.48,0.113
35.0,0.61,0.22,0.6257,35.0,15,6,0.0,5,2.0,0,0.8,0.0067,0.51,0.113
35.0,0.0,0.22,0.5318,35.0,30,0,0.0,3,2.0,0,0.7,0.0039,0.0,0.113
45.0,0.0,0.22,0.3175,45.0,70,0,0.0,11,2.5,0,0.5,0.0216,0.0,0.113
45.0,0.81,0.22,0.2737,45.0,70,8,0.0,6,2.5,0,0.5,0.0093,0.62,0.113
25.0,0.48,0.22,0.314,25.0,70,6,1.0,2,2.0,0,0.0,0.0,0.64,0.113
