robot_max_speed,robot_radius,success_rate,collision_rate,average_collision_amount,timeout_rate,timeout_collision_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,dyn_obstacle_occupation,crowdnav,dwa,rlca,teb
0.22,0.113,0.53,0.47,11.2,0.0,0.13,191.2,1346800001345.0,90,50,1,45,4,0,0,0,0,240.0,0.024,2250,2.3219,7,0.3078,0.6,0.0069,0.0,0.55,0.51,6,3,0,0,1,0
0.22,0.113,0.27,0.73,6.2,0.0,0.03,126.77,1084853334416.87,90,90,1,70,5,0,0,0,0,257.1429,0.0368,4050,2.3219,12,0.3481,0.2,0.0103,0.0,0.41,0.62,12,7,0,0,1,0
0.22,0.113,0.67,0.33,3.53,0.0,0.03,42.53,457130000455.3,50,50,1,45,3,0,0,0,0,180.0,0.0145,1250,2.3219,2,0.3424,0.0,0.0,1.0,0.63,0.53,4,2,0,0,1,0
0.22,0.113,0.67,0.33,0.37,0.0,0.0,27.32,374146667039.13,50,70,1,70,5,0,0,0,0,180.0,0.0195,1750,2.3219,2,0.2586,1.0,0.0004,0.0,0.35,0.57,6,3,0,0,1,0
0.22,0.113,0.33,0.67,11.5,0.0,0.1,193.89,1604146668269.13,90,70,1,30,5,0,0,0,0,261.8182,0.0277,3150,2.3219,6,0.4025,0.8,0.0061,0.0,0.63,0.65,9,6,0,0,1,0
0.22,0.113,0.5,0.5,13.93,0.0,0.13,141.37,1397653334730.87,70,50,1,45,3,0,0,0,0,216.0,0.0167,1750,2.3219,4,0.4454,0.8,0.0071,0.0,0.62,0.37,6,2,0,0,1,0
1.1,0.625,0.63,0.37,0.53,0.0,0.0,16.36,172573333505.07,50,90,1,15,4,0,0,0,0,180.0,0.015,2250,2.3219,2,0.6129,0.0,0.0,1.0,0.62,0.47,6,3,0,0,1,0
1.1,0.625,0.27,0.73,3.57,0.0,0.3,60.73,3010483336342.17,90,90,1,30,4,0,0,0,0,180.0,0.0273,4050,2.3219,2,0.5788,0.0,0.0,1.0,0.62,0.66,12,8,1,0,0,0
1.1,0.625,0.2,0.8,2.77,0.0,0.4,86.77,3004293336337.27,90,90,0,0,0,1,30,6,0,240.0,0.0306,4050,2.3219,7,0.5038,0.7,0.0102,0.0,0.55,0.46,12,6,1,0,0,0
1.1,0.625,0.63,0.37,0.67,0.0,0.23,68.32,2353756669018.23,90,70,1,70,4,0,0,0,0,288.0,0.031,3150,2.3219,7,0.3308,0.6,0.0096,0.0,0.0,0.0,0,0,1,0,0,0
